epoch number, elapsed time, train loss, train ndcg@10, val ndcg@10
1, 3.60414099693, -65.610954, 0.877854, 
2, 3.55042815208, -20.976870, 0.877991, 
3, 3.51593518257, -13.287650, 0.891331, 
4, 3.52674984932, -9.919042, 0.892496, 
5, 3.54532599449, -7.755838, 0.884394, 
6, 3.5116481781, -6.362690, 0.878311, 
7, 3.55554795265, -5.537813, 0.875071, 
8, 3.55365586281, -4.602542, 0.873084, 
9, 3.5044760704, -3.895194, 0.877585, 
10, 3.52208995819, -3.669082, 0.866043, 
11, 3.51200199127, -3.032351, 0.876097, 
12, 3.54948496819, -2.718832, 0.861947, 
13, 3.5256729126, -2.453350, 0.863052, 
14, 3.58450698853, -2.176701, 0.865222, 
15, 3.54257106781, -2.040543, 0.862966, 

0.846314068732
