epoch number, elapsed time, train loss, train ndcg@10, val ndcg@10
1, 3.78856682777, -63.249779, 0.804105, 
2, 3.68477082253, -18.339088, 0.878616, 
3, 3.68397688866, -11.862145, 0.869549, 
4, 3.70581293106, -8.919849, 0.873590, 
5, 3.70661115646, -6.990451, 0.867911, 
6, 3.7499601841, -5.919840, 0.857025, 
7, 3.72648191452, -4.839008, 0.852830, 
8, 3.7027349472, -4.093223, 0.851152, 
9, 3.74191808701, -3.422385, 0.868801, 
10, 3.71252202988, -3.035766, 0.862564, 
11, 3.96266484261, -2.843848, 0.861714, 
12, 4.48925304413, -2.282284, 0.861199, 
13, 3.80931091309, -2.238816, 0.850559, 
14, 3.9577319622, -1.887738, 0.853393, 
15, 3.97165703773, -1.838863, 0.847978, 

0.916495178152
