epoch number, elapsed time, train loss, train ndcg@10, val ndcg@10
1, 3.77228808403, -63.960159, 0.856292, 
2, 3.68284010887, -19.308527, 0.841464, 
3, 3.70780396461, -12.903784, 0.845273, 
4, 3.69516015053, -9.555228, 0.851491, 
5, 3.63650107384, -7.320473, 0.850457, 
6, 3.99758791924, -6.082699, 0.854463, 
7, 4.34601902962, -5.247993, 0.852169, 
8, 3.71715283394, -4.569180, 0.843458, 
9, 3.66039609909, -4.038704, 0.846887, 
10, 3.67006087303, -3.520699, 0.853360, 
11, 3.69153785706, -3.282814, 0.849559, 
12, 4.26876711845, -2.980290, 0.856469, 
13, 4.23978805542, -2.741203, 0.851159, 
14, 3.79795098305, -2.613770, 0.855493, 
15, 3.72280788422, -2.443562, 0.861031, 

0.918562721762
