epoch number, elapsed time, train loss, train ndcg@10, val ndcg@10
1, 3.46752405167, -66.347961, 0.847332, 
2, 3.46569609642, -22.161520, 0.846630, 
3, 3.78932499886, -14.652683, 0.865835, 
4, 3.43827390671, -10.744768, 0.875517, 
5, 3.4453690052, -8.390947, 0.865609, 
6, 3.45449185371, -6.794103, 0.864698, 
7, 3.44785094261, -5.805564, 0.864151, 
8, 3.46498203278, -4.800631, 0.870722, 
9, 3.50973892212, -4.248672, 0.866422, 
10, 3.6091940403, -3.731008, 0.866841, 
11, 4.18742895126, -3.375854, 0.860980, 
12, 3.54139304161, -3.107497, 0.861389, 
13, 3.75838279724, -2.879499, 0.865260, 
14, 3.71087598801, -2.639204, 0.874045, 
15, 3.50470304489, -2.522200, 0.867354, 

0.853550947254
