epoch number, elapsed time, train loss, train ndcg@10, val ndcg@10
1, 3.65686321259, -61.469051, 0.876647, 
2, 3.62299108505, -18.479656, 0.898774, 
3, 3.68608689308, -12.182536, 0.906657, 
4, 3.63760900497, -8.779927, 0.902879, 
5, 3.65001392365, -7.022889, 0.913434, 
6, 4.4989130497, -5.743868, 0.914455, 
7, 3.69681406021, -4.786242, 0.912748, 
8, 3.66652798653, -4.154052, 0.917339, 
9, 3.65236401558, -3.502737, 0.914460, 
10, 3.68375492096, -3.236032, 0.907024, 
11, 3.7148399353, -2.815489, 0.907360, 
12, 3.65504097939, -2.454248, 0.902746, 
13, 3.86396503448, -2.352209, 0.903890, 
14, 3.69512104988, -2.068858, 0.896601, 
15, 3.73524594307, -1.853970, 0.907024, 

0.810110845377
