epoch number, elapsed time, train loss, train ndcg@10, val ndcg@10
1, 4.07710289955, -66.183006, 0.828804, 0.898864
2, 4.01309514046, -25.543331, 0.849431, 0.904444
3, 3.66178488731, -16.466101, 0.859287, 0.909120
4, 3.68965411186, -12.015310, 0.871833, 0.909120
5, 3.5714328289, -9.488890, 0.875169, 0.910215
6, 3.60779690742, -7.816697, 0.863960, 0.905539
7, 3.59841609001, -6.485356, 0.869881, 0.907104
8, 3.56658911705, -5.630328, 0.866307, 0.920285
9, 3.62262105942, -4.975949, 0.867591, 0.920285
10, 3.92522716522, -4.322854, 0.866650, 0.920527
11, 3.61567521095, -3.886946, 0.859085, 0.920527
12, 3.71601700783, -3.403450, 0.869888, 0.920527
13, 3.67818212509, -3.277212, 0.863697, 0.920527
14, 3.6753821373, -2.862973, 0.866284, 0.920527
15, 3.53471398354, -2.631297, 0.867734, 0.927679
16, 4.06045794487, -2.490368, 0.871980, 0.937031
17, 4.49743819237, -2.348984, 0.873569, 0.927437
18, 4.21264100075, -2.287244, 0.874134, 0.932113
19, 4.14495706558, -2.142247, 0.875024, 0.932113
20, 3.8572499752, -2.027388, 0.874679, 0.923850

0.848069950632
