epoch number, elapsed time, train loss, train ndcg@10, val ndcg@10
1, 3.81838297844, -64.337456, 0.813262, 0.892573
2, 3.82599377632, -17.897951, 0.825056, 0.896301
3, 3.81989502907, -11.776992, 0.836099, 0.932542
4, 3.77939605713, -9.007218, 0.846147, 0.932542
5, 3.83518791199, -7.210889, 0.849843, 0.932542
6, 3.8407330513, -6.222669, 0.852518, 0.919822
7, 3.85611987114, -5.224967, 0.848890, 0.919822
8, 3.97170209885, -4.422981, 0.848596, 0.933151
9, 3.87129282951, -3.880286, 0.845575, 0.933968
10, 3.91506004333, -3.540871, 0.842731, 0.933968
11, 3.90161800385, -3.108904, 0.849070, 0.933968
12, 3.86296105385, -2.934163, 0.848189, 0.935137
13, 3.76246285439, -2.676465, 0.855615, 0.935137
14, 3.80141806602, -2.532749, 0.859871, 0.945450
15, 3.84236192703, -2.370039, 0.855920, 0.936779
16, 3.90139198303, -2.171961, 0.863682, 0.920991

0.923607970793
