epoch number, elapsed time, train loss, train ndcg@10, val ndcg@10
1, 4.51072192192, -67.257355, 0.836009, 0.846615
2, 4.07097482681, -22.564558, 0.863909, 0.842931
3, 4.47728800774, -14.422896, 0.874500, 0.833943
4, 4.17350411415, -10.567083, 0.879591, 0.807927
5, 4.14596104622, -8.147799, 0.875438, 0.808943
6, 4.15573191643, -6.700862, 0.879979, 0.812145
7, 3.86648511887, -5.764736, 0.873695, 0.817708
8, 3.92049193382, -4.953647, 0.864765, 0.817968
9, 4.0222671032, -4.360373, 0.864360, 0.819219
10, 4.61394000053, -3.583923, 0.861689, 0.820398
11, 5.25749087334, -3.273778, 0.869448, 0.821133
12, 5.8180809021, -2.846189, 0.864300, 0.820342
13, 5.30835986137, -2.530567, 0.860558, 0.821133
14, 5.68973684311, -2.333367, 0.856749, 0.824694
15, 5.52320814133, -2.223380, 0.847800, 0.828151
16, 5.90535402298, -1.838342, 0.855809, 0.828151
17, 4.14804887772, -1.699814, 0.864076, 0.827703
18, 3.81919384003, -1.604621, 0.855586, 0.832367
19, 3.96196985245, -1.546178, 0.853160, 0.832920
20, 4.09198188782, -1.343913, 0.848942, 0.838747
21, 4.47909498215, -1.469349, 0.862142, 0.840214
22, 4.24577212334, -1.160560, 0.866727, 0.840214
23, 5.34301781654, -1.174704, 0.857509, 0.838579
24, 4.5168390274, -1.134246, 0.857908, 0.838579
25, 4.80182099342, -1.215817, 0.868039, 0.843797
26, 4.69305205345, -1.094145, 0.871711, 0.837328

0.876391662202
