epoch number, elapsed time, train loss, train ndcg@10, val ndcg@10
1, 3.8310110569, -67.046951, 0.885181, 0.863145
2, 4.50817680359, -25.065630, 0.878913, 0.865582
3, 3.64541888237, -16.362013, 0.877848, 0.869459
4, 3.66547203064, -12.047064, 0.882886, 0.852217
5, 3.63426303864, -9.165527, 0.886275, 0.852217
6, 3.68869996071, -7.657196, 0.882812, 0.852217
7, 3.67544984818, -6.412753, 0.882481, 0.854608
8, 3.73869490623, -5.725469, 0.874403, 0.854608
9, 3.69264984131, -4.774742, 0.880029, 0.854608
10, 3.69284701347, -4.253281, 0.878664, 0.853551
11, 3.60080909729, -3.621639, 0.881413, 0.853551
12, 3.61967206001, -3.371832, 0.872714, 0.853551
13, 3.70297002792, -3.038710, 0.863610, 0.853551
14, 3.70268893242, -2.771538, 0.875272, 0.853551
15, 3.83786296844, -2.647037, 0.864453, 0.850310

0.831794632368
