epoch number, elapsed time, train loss, train ndcg@10, val ndcg@10
1, 3.49645614624, -69.611656, 0.816885, 
2, 3.49559402466, -22.172287, 0.863276, 
3, 3.46171689034, -14.359411, 0.857312, 
4, 3.47824001312, -10.478959, 0.854135, 
5, 3.4584209919, -8.270267, 0.852844, 
6, 3.45581817627, -6.537821, 0.866543, 
7, 3.45448803902, -5.583209, 0.872302, 
8, 3.51667618752, -4.751733, 0.869689, 
9, 3.44868803024, -4.027722, 0.869689, 
10, 3.4874329567, -3.726428, 0.867028, 
11, 3.98411607742, -3.334721, 0.862429, 
12, 3.85803794861, -3.095174, 0.862427, 
13, 3.58080101013, -2.726556, 0.874269, 
14, 3.72299814224, -2.600786, 0.873907, 
15, 3.50847196579, -2.422643, 0.877313, 

0.840824387032
