epoch number, elapsed time, train loss, train ndcg@10, val ndcg@10
1, 3.69649600983, -63.673351, 0.838304, 
2, 3.65645003319, -20.099554, 0.871255, 
3, 3.66167902946, -13.127993, 0.865509, 
4, 3.71342992783, -9.739116, 0.865471, 
5, 3.99607586861, -7.735300, 0.867305, 
6, 3.74193000793, -6.226868, 0.866871, 
7, 4.46992897987, -5.298314, 0.861900, 
8, 3.70587801933, -4.530765, 0.853664, 
9, 3.69468617439, -3.931979, 0.857247, 
10, 3.71549582481, -3.442329, 0.854532, 
11, 3.78761696815, -2.929523, 0.861349, 
12, 3.72456002235, -2.717014, 0.852817, 
13, 3.72838807106, -2.391690, 0.862295, 
14, 3.71613287926, -2.228908, 0.858985, 
15, 3.70538401604, -2.101722, 0.852265, 

0.914647114073
