epoch number, elapsed time, train loss, train ndcg@10, val ndcg@10
1, 3.5282099247, -65.375435, 0.854891, 
2, 3.56483507156, -21.697266, 0.872125, 
3, 3.50914883614, -14.646226, 0.878802, 
4, 3.55696415901, -10.709629, 0.890521, 
5, 4.23692512512, -8.619142, 0.886162, 
6, 4.04995298386, -7.071826, 0.886612, 
7, 3.52727198601, -6.168464, 0.875519, 
8, 3.55320501328, -5.395885, 0.872398, 
9, 3.91963386536, -4.548548, 0.871343, 
10, 3.78639006615, -4.038456, 0.856429, 
11, 3.68557620049, -3.573580, 0.867657, 
12, 3.67195916176, -3.143996, 0.869898, 
13, 3.59324789047, -2.987935, 0.859903, 
14, 4.17982506752, -2.579815, 0.868968, 
15, 4.34588909149, -2.438783, 0.870356, 

0.836974604581
