epoch number, elapsed time, train loss, train ndcg@10, val ndcg@10
1, 3.6550860405, -60.945553, 0.898376, 
2, 3.58318400383, -22.515579, 0.912500, 
3, 3.62173199654, -14.932178, 0.910033, 
4, 3.62908983231, -10.990170, 0.910402, 
5, 3.58327317238, -8.618387, 0.911582, 
6, 3.7320420742, -7.219960, 0.917909, 
7, 3.64084100723, -5.899920, 0.925557, 
8, 3.62317585945, -5.237860, 0.921676, 
9, 3.6179420948, -4.448247, 0.916117, 
10, 3.64983177185, -4.105828, 0.911482, 
11, 3.6077849865, -3.623919, 0.899395, 
12, 3.82920885086, -3.140082, 0.911637, 
13, 3.68634104729, -2.873185, 0.899646, 
14, 4.44060587883, -2.517966, 0.899498, 
15, 3.6699090004, -2.456923, 0.879223, 

0.808337501796
