epoch number, elapsed time, train loss, train ndcg@10, val ndcg@10
1, 3.62404203415, -58.716747, 0.854591, 0.851348
2, 4.34825706482, -20.442734, 0.883227, 0.831579
3, 3.81225299835, -13.387298, 0.888446, 0.829810
4, 3.68211197853, -9.508995, 0.902168, 0.835795
5, 3.75056791306, -7.564343, 0.903284, 0.833227
6, 3.7539730072, -6.153517, 0.899286, 0.834850
7, 3.71601080894, -5.161464, 0.902220, 0.833562
8, 3.83192110062, -4.557671, 0.885272, 0.834848
9, 3.73464202881, -3.918962, 0.891554, 0.845793
10, 3.79190206528, -3.378444, 0.900850, 0.845793
11, 3.97898817062, -2.989098, 0.912802, 0.845793
12, 3.64820694923, -2.818396, 0.893169, 0.843262
13, 3.74702095985, -2.478855, 0.898165, 0.843262
14, 3.7297668457, -2.284857, 0.903549, 0.843262
15, 3.78822398186, -2.194805, 0.897803, 0.843262
16, 3.84265804291, -2.008979, 0.893252, 0.843262
17, 3.73913621902, -1.792949, 0.906208, 0.845868
18, 3.805560112, -1.715606, 0.897371, 0.845868
19, 3.73720192909, -1.628266, 0.895604, 0.842198

0.826937325848
