epoch number, elapsed time, train loss, train ndcg@10, val ndcg@10
1, 3.84149193764, -64.561516, 0.820848, 0.888565
2, 3.74431204796, -19.241652, 0.846768, 0.890711
3, 3.70655918121, -12.511788, 0.852328, 0.896301
4, 3.77768588066, -9.214465, 0.853212, 0.896301
5, 3.72168898582, -7.647787, 0.842175, 0.933151
6, 3.98242807388, -6.278536, 0.849922, 0.929661
7, 3.97025108337, -5.226384, 0.845790, 0.933151
8, 3.88501381874, -4.681817, 0.844995, 0.933151
9, 3.76731586456, -4.085248, 0.844877, 0.933151
10, 4.63597106934, -3.451127, 0.843755, 0.933151
11, 4.89125204086, -3.241299, 0.851717, 0.907097

0.907645462549
