epoch number, elapsed time, train loss, train ndcg@10, val ndcg@10
1, 5.59797406197, -60.059711, 0.868830, 0.836030
2, 4.71998095512, -17.730249, 0.871609, 0.816636
3, 3.93726396561, -11.469137, 0.878846, 0.819742
4, 4.8971259594, -8.375000, 0.879814, 0.818319
5, 4.42290902138, -6.817822, 0.884463, 0.813092
6, 4.70184612274, -5.445704, 0.883353, 0.814203
7, 5.37585282326, -4.737577, 0.875025, 0.821322
8, 4.93627095222, -4.169134, 0.873547, 0.821886
9, 3.9885289669, -3.551316, 0.876062, 0.819147
10, 4.60003495216, -3.005689, 0.875864, 0.823064
11, 4.32923293114, -2.720940, 0.869236, 0.826466
12, 3.8998799324, -2.648731, 0.847175, 0.826466
13, 3.87253808975, -2.130641, 0.876066, 0.826466
14, 4.23192811012, -1.959804, 0.864634, 0.833369
15, 5.60353207588, -1.774836, 0.863458, 0.841071
16, 4.0494658947, -1.717454, 0.853998, 0.822552

0.926334064479
