epoch number, elapsed time, train loss, train ndcg@10, val ndcg@10
1, 4.26354002953, -66.399780, 0.860377, 0.867633
2, 3.66308999062, -20.911249, 0.888187, 0.880959
3, 3.68800902367, -13.520239, 0.893374, 0.881318
4, 3.64595603943, -9.880313, 0.889281, 0.887056
5, 3.54829597473, -7.872251, 0.897006, 0.857089
6, 3.54061102867, -6.533229, 0.885104, 0.859479
7, 3.54901909828, -5.411474, 0.887265, 0.859479
8, 4.1505420208, -4.654654, 0.882297, 0.859285
9, 5.19176006317, -4.084776, 0.866074, 0.859479
10, 4.0374610424, -3.628109, 0.870698, 0.859285
11, 3.69844913483, -3.033460, 0.867684, 0.854608

0.837163328397
