epoch number, elapsed time, train loss, train ndcg@10, val ndcg@10
1, 3.82917881012, -60.481258, 0.843683, 
2, 4.10839700699, -21.512537, 0.840607, 
3, 3.85257506371, -13.818859, 0.844286, 
4, 3.85823297501, -10.288008, 0.847002, 
5, 3.98641300201, -8.218759, 0.852866, 
6, 4.0035841465, -6.584648, 0.851430, 
7, 3.79121184349, -5.610712, 0.846146, 
8, 4.20065999031, -5.149899, 0.839977, 
9, 4.73391008377, -4.351151, 0.837335, 
10, 4.05940890312, -3.826530, 0.837035, 
11, 3.95319199562, -3.495705, 0.839923, 
12, 4.3047850132, -3.201559, 0.844951, 
13, 3.87091207504, -2.822070, 0.845497, 
14, 4.07625198364, -2.564417, 0.855557, 
15, 3.84409880638, -2.420170, 0.862006, 

0.921842301141
