epoch number, elapsed time, train loss, train ndcg@10, val ndcg@10
1, 3.79399013519, -57.443832, 0.901159, 
2, 3.86074900627, -16.742517, 0.905287, 
3, 3.76824212074, -11.066138, 0.910890, 
4, 3.64948296547, -8.088946, 0.909604, 
5, 3.8154270649, -6.347680, 0.917772, 
6, 4.0056040287, -5.286109, 0.899947, 
7, 3.85680103302, -4.374543, 0.902509, 
8, 3.79370689392, -3.575530, 0.909763, 
9, 3.82679891586, -3.201971, 0.896521, 
10, 3.81802988052, -2.745903, 0.901480, 
11, 3.81594705582, -2.519773, 0.896496, 
12, 3.82024884224, -2.148004, 0.907083, 
13, 3.65098595619, -2.103734, 0.904195, 
14, 3.85255408287, -1.804909, 0.894002, 
15, 3.85834503174, -1.820275, 0.890147, 

0.813461910641
