epoch number, elapsed time, train loss, train ndcg@10, val ndcg@10
1, 4.08869314194, -66.519531, 0.851101, 
2, 4.41561412811, -20.372322, 0.892215, 
3, 4.74945187569, -13.819968, 0.888563, 
4, 5.32569909096, -10.488636, 0.885305, 
5, 3.87688779831, -8.026087, 0.903010, 
6, 3.75897288322, -6.664433, 0.893510, 
7, 3.71678805351, -5.868673, 0.892661, 
8, 3.78076505661, -5.042475, 0.893300, 
9, 3.85231184959, -4.478508, 0.887946, 
10, 3.77978396416, -3.935138, 0.878686, 
11, 3.81604909897, -3.365018, 0.873494, 
12, 3.63974094391, -3.203715, 0.883025, 
13, 3.99374198914, -2.830118, 0.874457, 
14, 3.78547692299, -2.575048, 0.870934, 
15, 3.50242686272, -2.326100, 0.870025, 

0.85108696329
