epoch number, elapsed time, train loss, train ndcg@10, val ndcg@10
1, 3.85030913353, -58.242989, 0.857286, 
2, 4.00289106369, -19.664841, 0.867088, 
3, 4.29068493843, -12.851213, 0.876904, 
4, 4.96802902222, -9.523803, 0.878989, 
5, 5.5252020359, -7.546186, 0.874415, 
6, 4.34043908119, -6.254165, 0.867009, 
7, 4.07776403427, -5.149644, 0.874039, 
8, 3.9634411335, -4.711463, 0.858985, 
9, 4.06612682343, -4.143902, 0.860489, 
10, 4.17361092567, -3.522087, 0.862626, 
11, 3.71074080467, -2.937881, 0.865940, 
12, 4.39902210236, -2.656218, 0.864679, 
13, 3.91356182098, -2.534738, 0.857907, 
14, 3.95785188675, -2.206306, 0.851572, 
15, 4.52654409409, -2.043010, 0.845160, 

0.916495178152
