epoch number, elapsed time, train loss, train ndcg@10, val ndcg@10
1, 3.8463139534, -66.234993, 0.854700, 
2, 3.77123808861, -21.257317, 0.856066, 
3, 3.71834397316, -14.094864, 0.852653, 
4, 3.60697793961, -10.284567, 0.856306, 
5, 3.71978402138, -8.092432, 0.863904, 
6, 3.84535598755, -6.897490, 0.859375, 
7, 4.20442700386, -5.675272, 0.861718, 
8, 3.71323108673, -4.890525, 0.864916, 
9, 3.71762681007, -4.520845, 0.868402, 
10, 3.94231009483, -3.897541, 0.863921, 
11, 3.73558092117, -3.717829, 0.864892, 
12, 3.87894392014, -3.163003, 0.859985, 
13, 3.84048390388, -2.949412, 0.864357, 
14, 3.56482315063, -2.738511, 0.859624, 
15, 3.50000786781, -2.503746, 0.865721, 

0.854607692775
