epoch number, elapsed time, train loss, train ndcg@10, val ndcg@10
1, 3.98732113838, -65.597977, 0.860008, 0.825466
2, 3.75662899017, -20.995983, 0.901333, 0.843681
3, 3.80874896049, -13.438104, 0.904407, 0.841703
4, 3.99367380142, -9.620596, 0.919231, 0.843326
5, 3.75189900398, -7.442992, 0.912178, 0.844891
6, 3.78573703766, -6.057880, 0.916633, 0.844891
7, 3.73492193222, -5.246489, 0.917294, 0.851719
8, 3.81124186516, -4.474819, 0.919035, 0.851719
9, 3.82061982155, -3.989953, 0.916586, 0.848049
10, 3.76222801208, -3.478738, 0.907464, 0.847416
11, 3.76823878288, -2.926053, 0.907464, 0.847416
12, 3.7808508873, -2.681982, 0.902985, 0.847416
13, 3.75194311142, -2.293917, 0.907281, 0.851719
14, 3.7807059288, -2.229544, 0.892712, 0.844557

0.790636542852
