epoch number, elapsed time, train loss, train ndcg@10, val ndcg@10
1, 3.57226586342, -61.155460, 0.854450, 0.864503
2, 4.29070401192, -22.531200, 0.884605, 0.876720
3, 3.59996199608, -14.605383, 0.887965, 0.846752
4, 3.57155704498, -10.754612, 0.887986, 0.859285
5, 4.50183916092, -8.443460, 0.882710, 0.859285
6, 3.61484885216, -6.973874, 0.882725, 0.854608
7, 3.59337687492, -5.656509, 0.890034, 0.853551
8, 3.57165288925, -5.002483, 0.882623, 0.858229
9, 3.55751204491, -4.413553, 0.867475, 0.858229
10, 3.7640080452, -3.791790, 0.877017, 0.858229
11, 3.56368517876, -3.328594, 0.871636, 0.858229
12, 3.59821200371, -3.134664, 0.865419, 0.858229
13, 3.66548490524, -2.768341, 0.867622, 0.853551

0.83005847804
