epoch number, elapsed time, train loss, train ndcg@10, val ndcg@10
1, 3.83709597588, -64.236771, 0.829117, 0.895625
2, 3.907351017, -21.793995, 0.846269, 0.932542
3, 3.83068203926, -14.174115, 0.853311, 0.932542
4, 3.77253603935, -10.174571, 0.855793, 0.932542
5, 3.81184196472, -8.226684, 0.851967, 0.932542
6, 3.8634660244, -6.844703, 0.852913, 0.932542
7, 4.42898607254, -5.789782, 0.848752, 0.933151
8, 5.86292099953, -4.925715, 0.838742, 0.933151
9, 4.30332303047, -4.342330, 0.846935, 0.933968
10, 4.29570889473, -3.931583, 0.847460, 0.933968
11, 4.65227603912, -3.352724, 0.855948, 0.907097

0.920826542778
