epoch number, elapsed time, train loss, train ndcg@10, val ndcg@10
1, 3.76699399948, -58.216797, 0.857027, 0.830264
2, 3.76926708221, -18.099804, 0.864147, 0.846761
3, 4.01304483414, -11.363124, 0.871528, 0.825908
4, 3.74816298485, -8.379111, 0.866404, 0.826623
5, 3.78845310211, -6.674859, 0.850579, 0.809916
6, 4.24805808067, -5.362267, 0.850694, 0.809916
7, 3.86458516121, -4.331275, 0.859176, 0.816037
8, 5.05104613304, -3.780848, 0.852878, 0.816037
9, 3.87101602554, -3.084833, 0.857401, 0.820208
10, 4.55225920677, -2.784817, 0.855654, 0.827632
11, 4.46582794189, -2.500263, 0.862300, 0.828044
12, 5.50708389282, -2.434649, 0.847429, 0.822007
13, 4.0843269825, -2.033718, 0.857619, 0.824484
14, 4.27208614349, -1.714679, 0.864800, 0.831576
15, 3.87189102173, -1.666703, 0.849803, 0.832367
16, 3.86365509033, -1.666452, 0.865998, 0.833711
17, 3.79928898811, -1.500152, 0.869829, 0.830495
18, 3.87379717827, -1.580000, 0.853582, 0.801830

0.914088619701
