epoch number, elapsed time, train loss, train ndcg@10, val ndcg@10
1, 3.65580701828, -57.768673, 0.852751, 0.930437
2, 3.54376482964, -17.468019, 0.859611, 0.917256
3, 3.54443192482, -11.699616, 0.866241, 0.918720
4, 3.48966097832, -8.842525, 0.862815, 0.920285
5, 3.48785400391, -6.833563, 0.871079, 0.920527
6, 3.50215601921, -5.652934, 0.869271, 0.920527
7, 3.58640909195, -4.808127, 0.862777, 0.920527
8, 3.49839496613, -4.261073, 0.870109, 0.920527
9, 3.53266310692, -3.622988, 0.872592, 0.920527
10, 3.49995803833, -3.332783, 0.876907, 0.923003
11, 3.49752998352, -2.901062, 0.872889, 0.927679
12, 3.61142492294, -2.903793, 0.874051, 0.932355
13, 3.5286719799, -2.543321, 0.872575, 0.923850
14, 3.50865387917, -2.205251, 0.874558, 0.923850
15, 3.83541989326, -2.026228, 0.875120, 0.937031
16, 3.84371805191, -2.220675, 0.869095, 0.923608

0.84471328771
